"filename", "language", "CMake", "CMakeCache", "Excel", "comment", "blank", "total"
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/tensor_ntt/lib/CMakeFiles/tensor_ntt.dir/cmake_clean.cmake", "CMake", 16, 0, 0, 1, 2, 19
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/tensor_ntt/lib/CMakeFiles/tensor_ntt.dir/cmake_clean_target.cmake", "CMake", 3, 0, 0, 0, 1, 4
"/home/xkyin/Work/AscendTikNTT/Cuda/build/source/tensor_ntt/lib/cmake_install.cmake", "CMake", 27, 0, 0, 6, 7, 40
"/home/xkyin/Work/AscendTikNTT/Cuda/data/combine0time.xlsx", "Excel", 0, 0, 43, 0, 0, 43
"/home/xkyin/Work/AscendTikNTT/Cuda/data/mergeTime.xlsx", "Excel", 0, 0, 40, 0, 1, 41
"/home/xkyin/Work/AscendTikNTT/Cuda/data/tensor0time.xlsx", "Excel", 0, 0, 46, 0, 0, 46
"/home/xkyin/Work/AscendTikNTT/Cuda/data/tensor1time.xlsx", "Excel", 0, 0, 47, 0, 0, 47
"/home/xkyin/Work/AscendTikNTT/Cuda/data/tensor2time.xlsx", "Excel", 0, 0, 45, 0, 0, 45
"/home/xkyin/Work/AscendTikNTT/Cuda/data/tensor3time.xlsx", "Excel", 0, 0, 38, 0, 1, 39
"/home/xkyin/Work/AscendTikNTT/Cuda/data/tensor4time.xlsx", "Excel", 0, 0, 50, 0, 0, 50
"/home/xkyin/Work/AscendTikNTT/Cuda/data/tensor5time.xlsx", "Excel", 0, 0, 51, 0, 1, 52
"/home/xkyin/Work/AscendTikNTT/Cuda/data/tensor6time.xlsx", "Excel", 0, 0, 50, 0, 0, 50
"/home/xkyin/Work/AscendTikNTT/Cuda/data/tensor7time.xlsx", "Excel", 0, 0, 44, 0, 0, 44
"/home/xkyin/Work/AscendTikNTT/Cuda/data/tensor8time.xlsx", "Excel", 0, 0, 50, 0, 0, 50
"/home/xkyin/Work/AscendTikNTT/Cuda/example/CMakeLists.txt", "CMake", 8, 0, 0, 20, 13, 41
"/home/xkyin/Work/AscendTikNTT/Cuda/source/CMakeLists.txt", "CMake", 3, 0, 0, 0, 0, 3
"/home/xkyin/Work/AscendTikNTT/Cuda/source/common/CMakeLists.txt", "CMake", 2, 0, 0, 0, 0, 2
"/home/xkyin/Work/AscendTikNTT/Cuda/source/common/include/CMakeLists.txt", "CMake", 5, 0, 0, 0, 2, 7
"/home/xkyin/Work/AscendTikNTT/Cuda/source/common/lib/CMakeLists.txt", "CMake", 8, 0, 0, 0, 4, 12
"/home/xkyin/Work/AscendTikNTT/Cuda/source/merge_ntt/CMakeLists.txt", "CMake", 2, 0, 0, 0, 0, 2
"/home/xkyin/Work/AscendTikNTT/Cuda/source/merge_ntt/include/CMakeLists.txt", "CMake", 4, 0, 0, 0, 3, 7
"/home/xkyin/Work/AscendTikNTT/Cuda/source/merge_ntt/lib/CMakeLists.txt", "CMake", 9, 0, 0, 0, 5, 14
"/home/xkyin/Work/AscendTikNTT/Cuda/source/tensor_ntt/CMakeLists.txt", "CMake", 2, 0, 0, 0, 0, 2
"/home/xkyin/Work/AscendTikNTT/Cuda/source/tensor_ntt/include/CMakeLists.txt", "CMake", 3, 0, 0, 0, 3, 6
"/home/xkyin/Work/AscendTikNTT/Cuda/source/tensor_ntt/lib/CMakeLists.txt", "CMake", 16, 0, 0, 0, 5, 21
"Total", "-", 1661, 679, 504, 327, 639, 3810
